"帳單年","帳單月","總用電度","校區","用電建築物","公開報表序號"
"105","02",59700.00,"蘭潭","農園館、溫室","A107"
"105","03",52650.00,"蘭潭","農園館、溫室","A107"
"105","04",63300.00,"蘭潭","農園館、溫室","A107"
"105","05",89550.00,"蘭潭","農園館、溫室","A107"
"105","01",72450.00,"蘭潭","農園館、溫室","A107"
"105","06",99900.00,"蘭潭","農園館、溫室","A107"
"105","07",91950.00,"蘭潭","農園館、溫室","A107"
"105","08",97200.00,"蘭潭","農園館、溫室","A107"
"105","09",96750.00,"蘭潭","農園館、溫室","A107"
"105","10",96750.00,"蘭潭","農園館、溫室","A107"
"105","11",92850.00,"蘭潭","農園館、溫室","A107"
"105","12",85800.00,"蘭潭","農園館、溫室","A107"
"106","04",68250.00,"蘭潭","農園館、溫室","A107"
"106","05",75600.00,"蘭潭","農園館、溫室","A107"
"106","06",103200.00,"蘭潭","農園館、溫室","A107"
"106","07",94950.00,"蘭潭","農園館、溫室","A107"
"106","08",94950.00,"蘭潭","農園館、溫室","A107"
"106","09",92400.00,"蘭潭","農園館、溫室","A107"
"106","10",101100.00,"蘭潭","農園館、溫室","A107"
"106","11",73950.00,"蘭潭","農園館、溫室","A107"
"106","12",75750.00,"蘭潭","農園館、溫室","A107"
"107","01",66150.00,"蘭潭","農園館、溫室","A107"
"107","02",61800.00,"蘭潭","農園館、溫室","A107"
"107","03",54150.00,"蘭潭","農園館、溫室","A107"
"107","04",70650.00,"蘭潭","農園館、溫室","A107"
"107","05",73950.00,"蘭潭","農園館、溫室","A107"
"107","06",97050.00,"蘭潭","農園館、溫室","A107"
"107","11",77400.00,"蘭潭","農園館、溫室","A107"
"107","12",66450.00,"蘭潭","農園館、溫室","A107"
"108","01",67500.00,"蘭潭","農園館、溫室","A107"
"108","02",49350.00,"蘭潭","農園館、溫室","A107"
"108","03",57300.00,"蘭潭","農園館、溫室","A107"
"108","04",57600.00,"蘭潭","農園館、溫室","A107"
"108","05",74700.00,"蘭潭","農園館、溫室","A107"
"108","06",86700.00,"蘭潭","農園館、溫室","A107"
"108","07",79650.00,"蘭潭","農園館、溫室","A107"
"108","08",59550.00,"蘭潭","農園館、溫室","A107"
"108","09",84750.00,"蘭潭","農園館、溫室","A107"
"108","10",62400.00,"蘭潭","農園館、溫室","A107"
"108","11",75300.00,"蘭潭","農園館、溫室","A107"
"108","12",57000.00,"蘭潭","農園館、溫室","A107"
"109","01",54000.00,"蘭潭","農園館、溫室","A107"
"107","07",20400.00,"蘭潭","工程館","A209"
"107","08",22050.00,"蘭潭","工程館","A209"
"107","09",14550.00,"蘭潭","工程館","A209"
"107","10",21150.00,"蘭潭","工程館","A209"
"103","07",18000.00,"蘭潭","工程館","A209"
"103","08",15150.00,"蘭潭","工程館","A209"
"103","09",,"蘭潭","工程館","A209"
"103","10",14850.00,"蘭潭","工程館","A209"
"109","02",12300.00,"蘭潭","工程館","A209"
"103","11",17025.00,"蘭潭","工程館","A209"
"103","12",0.00,"蘭潭","工程館","A209"
"104","01",15450.00,"蘭潭","工程館","A209"
"104","02",15000.00,"蘭潭","工程館","A209"
"104","03",8250.00,"蘭潭","工程館","A209"
"104","04",15000.00,"蘭潭","工程館","A209"
"104","05",20550.00,"蘭潭","工程館","A209"
"104","06",19800.00,"蘭潭","工程館","A209"
"104","07",27000.00,"蘭潭","工程館","A209"
"104","08",18450.00,"蘭潭","工程館","A209"
"104","09",16350.00,"蘭潭","工程館","A209"
"106","01",11700.00,"蘭潭","工程館","A209"
"106","02",10800.00,"蘭潭","工程館","A209"
"106","03",9750.00,"蘭潭","工程館","A209"
"104","10",19800.00,"蘭潭","工程館","A209"
"104","11",22800.00,"蘭潭","工程館","A209"
"104","12",17400.00,"蘭潭","工程館","A209"
"105","02",11250.00,"蘭潭","工程館","A209"
"105","03",9600.00,"蘭潭","工程館","A209"
"105","04",13050.00,"蘭潭","工程館","A209"
"105","05",18900.00,"蘭潭","工程館","A209"
"105","01",14550.00,"蘭潭","工程館","A209"
"105","06",24750.00,"蘭潭","工程館","A209"
"105","07",22500.00,"蘭潭","工程館","A209"
"105","08",18300.00,"蘭潭","工程館","A209"
"105","09",11250.00,"蘭潭","工程館","A209"
"105","10",10500.00,"蘭潭","工程館","A209"
"105","11",12300.00,"蘭潭","工程館","A209"
"105","12",9450.00,"蘭潭","工程館","A209"
"106","04",13200.00,"蘭潭","工程館","A209"
"106","05",15750.00,"蘭潭","工程館","A209"
"106","06",24150.00,"蘭潭","工程館","A209"
"106","07",22950.00,"蘭潭","工程館","A209"
"106","08",19050.00,"蘭潭","工程館","A209"
"106","09",19200.00,"蘭潭","工程館","A209"
"106","10",27900.00,"蘭潭","工程館","A209"
"106","11",18450.00,"蘭潭","工程館","A209"
"106","12",16800.00,"蘭潭","工程館","A209"
"107","01",14100.00,"蘭潭","工程館","A209"
"107","02",12450.00,"蘭潭","工程館","A209"
"107","03",9600.00,"蘭潭","工程館","A209"
"107","04",13950.00,"蘭潭","工程館","A209"
"107","05",16650.00,"蘭潭","工程館","A209"
"107","06",26550.00,"蘭潭","工程館","A209"
"107","11",22500.00,"蘭潭","工程館","A209"
"107","12",15900.00,"蘭潭","工程館","A209"
"108","01",14250.00,"蘭潭","工程館","A209"
"108","02",9900.00,"蘭潭","工程館","A209"
"108","03",11550.00,"蘭潭","工程館","A209"
"108","04",12750.00,"蘭潭","工程館","A209"
"108","05",18600.00,"蘭潭","工程館","A209"
"108","06",22350.00,"蘭潭","工程館","A209"
"108","07",18900.00,"蘭潭","工程館","A209"
"108","08",15000.00,"蘭潭","工程館","A209"
"108","09",20850.00,"蘭潭","工程館","A209"
"108","10",19050.00,"蘭潭","工程館","A209"
"108","11",19050.00,"蘭潭","工程館","A209"
"108","12",13200.00,"蘭潭","工程館","A209"
"109","01",13050.00,"蘭潭","工程館","A209"
"102","02",1044.00,"蘭潭","菇舍","A109"
"102","03",0.00,"蘭潭","菇舍","A109"
"100","05",463.00,"蘭潭","菇舍","A109"
"100","06",438.00,"蘭潭","菇舍","A109"
"100","07",638.00,"蘭潭","菇舍","A109"
"100","08",1317.00,"蘭潭","菇舍","A109"
"107","07",1092.00,"蘭潭","菇舍","A109"
"100","09",1269.00,"蘭潭","菇舍","A109"
"100","10",1048.00,"蘭潭","菇舍","A109"
"100","11",1047.00,"蘭潭","菇舍","A109"
"100","12",985.00,"蘭潭","菇舍","A109"
"101","01",658.00,"蘭潭","菇舍","A109"
"101","02",318.00,"蘭潭","菇舍","A109"
"101","03",491.00,"蘭潭","菇舍","A109"
"101","04",764.00,"蘭潭","菇舍","A109"
"101","05",1201.00,"蘭潭","菇舍","A109"
"101","06",1521.00,"蘭潭","菇舍","A109"
"101","07",1782.00,"蘭潭","菇舍","A109"
"101","08",2370.00,"蘭潭","菇舍","A109"
"101","09",2264.00,"蘭潭","菇舍","A109"
"101","10",1729.00,"蘭潭","菇舍","A109"
"101","11",2585.00,"蘭潭","菇舍","A109"
"101","12",2393.00,"蘭潭","菇舍","A109"
"102","01",3009.00,"蘭潭","菇舍","A109"
"102","04",,"蘭潭","菇舍","A109"
"107","08",1984.00,"蘭潭","菇舍","A109"
"107","09",2408.00,"蘭潭","菇舍","A109"
"107","10",2272.00,"蘭潭","菇舍","A109"
"103","05",2037.00,"蘭潭","菇舍","A109"
"103","06",2007.00,"蘭潭","菇舍","A109"
"103","07",1692.00,"蘭潭","菇舍","A109"
"103","08",1547.00,"蘭潭","菇舍","A109"
"103","09",1824.00,"蘭潭","菇舍","A109"
"103","10",1450.00,"蘭潭","菇舍","A109"
"109","02",360.00,"蘭潭","菇舍","A109"
"103","11",2004.00,"蘭潭","菇舍","A109"
"103","12",1304.00,"蘭潭","菇舍","A109"
"104","01",986.00,"蘭潭","菇舍","A109"
"104","02",1561.00,"蘭潭","菇舍","A109"
"102","05",1078.00,"蘭潭","菇舍","A109"
"102","09",3007.00,"蘭潭","菇舍","A109"
"102","06",1060.00,"蘭潭","菇舍","A109"
"102","10",2762.00,"蘭潭","菇舍","A109"
"102","12",1612.00,"蘭潭","菇舍","A109"
"102","07",1995.00,"蘭潭","菇舍","A109"
"102","08",2869.00,"蘭潭","菇舍","A109"
"102","11",2481.00,"蘭潭","菇舍","A109"
"103","01",940.00,"蘭潭","菇舍","A109"
"103","02",1274.00,"蘭潭","菇舍","A109"
"104","03",939.00,"蘭潭","菇舍","A109"
"103","04",1900.00,"蘭潭","菇舍","A109"
"104","04",1383.00,"蘭潭","菇舍","A109"
"103","03",1276.00,"蘭潭","菇舍","A109"
"104","05",1734.00,"蘭潭","菇舍","A109"
"104","06",1102.00,"蘭潭","菇舍","A109"
"104","07",1271.00,"蘭潭","菇舍","A109"
"104","08",1223.00,"蘭潭","菇舍","A109"
"104","09",1236.00,"蘭潭","菇舍","A109"
"106","01",1024.00,"蘭潭","菇舍","A109"
"106","02",1016.00,"蘭潭","菇舍","A109"
"106","03",1020.00,"蘭潭","菇舍","A109"
"104","10",1683.00,"蘭潭","菇舍","A109"
"104","11",1952.00,"蘭潭","菇舍","A109"
"104","12",1569.00,"蘭潭","菇舍","A109"
"105","02",615.00,"蘭潭","菇舍","A109"
"105","03",828.00,"蘭潭","菇舍","A109"
"105","04",1686.00,"蘭潭","菇舍","A109"
"105","05",2003.00,"蘭潭","菇舍","A109"
"105","01",1407.00,"蘭潭","菇舍","A109"
"105","06",,"蘭潭","菇舍","A109"
"105","07",,"蘭潭","菇舍","A109"
"105","08",,"蘭潭","菇舍","A109"
"105","09",1600.00,"蘭潭","菇舍","A109"
"105","10",1864.00,"蘭潭","菇舍","A109"
"105","11",1612.00,"蘭潭","菇舍","A109"
"105","12",1360.00,"蘭潭","菇舍","A109"
"106","04",1120.00,"蘭潭","菇舍","A109"
"106","05",1260.00,"蘭潭","菇舍","A109"
"106","06",1648.00,"蘭潭","菇舍","A109"
"106","07",1596.00,"蘭潭","菇舍","A109"
"106","08",1196.00,"蘭潭","菇舍","A109"
"106","09",1708.00,"蘭潭","菇舍","A109"
"106","10",1224.00,"蘭潭","菇舍","A109"
"106","11",1004.00,"蘭潭","菇舍","A109"
"106","12",732.00,"蘭潭","菇舍","A109"
"107","01",932.00,"蘭潭","菇舍","A109"
"107","02",832.00,"蘭潭","菇舍","A109"
"107","03",812.00,"蘭潭","菇舍","A109"
"107","04",904.00,"蘭潭","菇舍","A109"
"107","05",1124.00,"蘭潭","菇舍","A109"
"107","06",1056.00,"蘭潭","菇舍","A109"
"107","11",1420.00,"蘭潭","菇舍","A109"
"107","12",1232.00,"蘭潭","菇舍","A109"
"108","01",1168.00,"蘭潭","菇舍","A109"
"108","02",1172.00,"蘭潭","菇舍","A109"
"108","03",1432.00,"蘭潭","菇舍","A109"
"108","04",1172.00,"蘭潭","菇舍","A109"
"108","05",1444.00,"蘭潭","菇舍","A109"
"108","06",1652.00,"蘭潭","菇舍","A109"
"108","07",1736.00,"蘭潭","菇舍","A109"
"108","08",1788.00,"蘭潭","菇舍","A109"
"108","09",1316.00,"蘭潭","菇舍","A109"
"108","10",772.00,"蘭潭","菇舍","A109"
"108","11",992.00,"蘭潭","菇舍","A109"
"108","12",504.00,"蘭潭","菇舍","A109"
"109","01",400.00,"蘭潭","菇舍","A109"
"102","03",0.00,"蘭潭","植物園","A409"
"107","07",80.00,"蘭潭","植物園","A409"
"102","04",,"蘭潭","植物園","A409"
"107","08",160.00,"蘭潭","植物園","A409"
"107","09",80.00,"蘭潭","植物園","A409"
"107","10",80.00,"蘭潭","植物園","A409"
"103","05",1040.00,"蘭潭","植物園","A409"
"103","06",1200.00,"蘭潭","植物園","A409"
"103","07",1280.00,"蘭潭","植物園","A409"
"103","08",1520.00,"蘭潭","植物園","A409"
"103","09",1520.00,"蘭潭","植物園","A409"
"103","10",1680.00,"蘭潭","植物園","A409"
"109","02",720.00,"蘭潭","植物園","A409"
"103","11",1520.00,"蘭潭","植物園","A409"
"103","12",560.00,"蘭潭","植物園","A409"
"104","01",880.00,"蘭潭","植物園","A409"
"104","02",560.00,"蘭潭","植物園","A409"
"102","05",1440.00,"蘭潭","植物園","A409"
"102","09",1760.00,"蘭潭","植物園","A409"
"102","06",1680.00,"蘭潭","植物園","A409"
"102","10",1600.00,"蘭潭","植物園","A409"
"102","12",880.00,"蘭潭","植物園","A409"
"102","07",2160.00,"蘭潭","植物園","A409"
"102","08",2000.00,"蘭潭","植物園","A409"
"102","11",1360.00,"蘭潭","植物園","A409"
"103","01",560.00,"蘭潭","植物園","A409"
"103","02",1200.00,"蘭潭","植物園","A409"
"104","03",1120.00,"蘭潭","植物園","A409"
"103","04",1120.00,"蘭潭","植物園","A409"
"104","04",800.00,"蘭潭","植物園","A409"
"103","03",560.00,"蘭潭","植物園","A409"
"104","05",1200.00,"蘭潭","植物園","A409"
"104","06",1280.00,"蘭潭","植物園","A409"
"104","07",1840.00,"蘭潭","植物園","A409"
"104","08",1680.00,"蘭潭","植物園","A409"
"104","09",1600.00,"蘭潭","植物園","A409"
"106","01",720.00,"蘭潭","植物園","A409"
"106","02",640.00,"蘭潭","植物園","A409"
"106","03",480.00,"蘭潭","植物園","A409"
"104","10",1440.00,"蘭潭","植物園","A409"
"104","11",960.00,"蘭潭","植物園","A409"
"104","12",480.00,"蘭潭","植物園","A409"
"105","02",720.00,"蘭潭","植物園","A409"
"105","03",960.00,"蘭潭","植物園","A409"
"105","04",880.00,"蘭潭","植物園","A409"
"105","05",720.00,"蘭潭","植物園","A409"
"105","01",480.00,"蘭潭","植物園","A409"
"105","06",640.00,"蘭潭","植物園","A409"
"105","07",240.00,"蘭潭","植物園","A409"
"105","08",640.00,"蘭潭","植物園","A409"
"105","09",1200.00,"蘭潭","植物園","A409"
"105","10",1360.00,"蘭潭","植物園","A409"
"105","11",1040.00,"蘭潭","植物園","A409"
"105","12",1040.00,"蘭潭","植物園","A409"
"106","04",640.00,"蘭潭","植物園","A409"
"106","05",400.00,"蘭潭","植物園","A409"
"106","06",0.00,"蘭潭","植物園","A409"
"106","07",480.00,"蘭潭","植物園","A409"
"106","08",160.00,"蘭潭","植物園","A409"
"106","09",80.00,"蘭潭","植物園","A409"
"106","10",0.00,"蘭潭","植物園","A409"
"106","11",400.00,"蘭潭","植物園","A409"
"106","12",80.00,"蘭潭","植物園","A409"
"107","01",0.00,"蘭潭","植物園","A409"
"107","02",240.00,"蘭潭","植物園","A409"
"107","03",160.00,"蘭潭","植物園","A409"
"107","04",240.00,"蘭潭","植物園","A409"
"107","05",160.00,"蘭潭","植物園","A409"
"107","06",400.00,"蘭潭","植物園","A409"
"107","11",160.00,"蘭潭","植物園","A409"
"107","12",240.00,"蘭潭","植物園","A409"
"108","01",80.00,"蘭潭","植物園","A409"
"108","02",160.00,"蘭潭","植物園","A409"
"108","03",0.00,"蘭潭","植物園","A409"
"108","04",80.00,"蘭潭","植物園","A409"
"108","05",320.00,"蘭潭","植物園","A409"
"108","06",6800.00,"蘭潭","植物園","A409"
"108","07",2080.00,"蘭潭","植物園","A409"
"108","08",3760.00,"蘭潭","植物園","A409"
"108","09",6160.00,"蘭潭","植物園","A409"
"108","10",5520.00,"蘭潭","植物園","A409"
"108","11",7200.00,"蘭潭","植物園","A409"
"108","12",5200.00,"蘭潭","植物園","A409"
"109","01",1760.00,"蘭潭","植物園","A409"
"102","02",0.00,"蘭潭","動物試驗場","A110"
"102","03",7936.00,"蘭潭","動物試驗場","A110"
"100","05",7043.00,"蘭潭","動物試驗場","A110"
"100","06",3624.00,"蘭潭","動物試驗場","A110"
"100","07",13071.00,"蘭潭","動物試驗場","A110"
"100","08",8562.00,"蘭潭","動物試驗場","A110"
"107","07",54400.00,"蘭潭","動物試驗場","A110"
"100","09",8751.00,"蘭潭","動物試驗場","A110"
"100","10",11260.00,"蘭潭","動物試驗場","A110"
"100","11",9007.00,"蘭潭","動物試驗場","A110"
"100","12",8288.00,"蘭潭","動物試驗場","A110"
"101","01",7617.00,"蘭潭","動物試驗場","A110"
"101","02",6771.00,"蘭潭","動物試驗場","A110"
"101","03",501.00,"蘭潭","動物試驗場","A110"
"101","04",16936.00,"蘭潭","動物試驗場","A110"
"101","05",8956.00,"蘭潭","動物試驗場","A110"
"101","06",10419.00,"蘭潭","動物試驗場","A110"
"101","07",9611.00,"蘭潭","動物試驗場","A110"
"101","08",9989.00,"蘭潭","動物試驗場","A110"
"101","09",9996.00,"蘭潭","動物試驗場","A110"
"101","10",8262.00,"蘭潭","動物試驗場","A110"
"101","11",9438.00,"蘭潭","動物試驗場","A110"
"101","12",7479.00,"蘭潭","動物試驗場","A110"
"102","01",7625.00,"蘭潭","動物試驗場","A110"
"102","04",9551.00,"蘭潭","動物試驗場","A110"
"107","08",63600.00,"蘭潭","動物試驗場","A110"
"107","09",43200.00,"蘭潭","動物試驗場","A110"
"107","10",56400.00,"蘭潭","動物試驗場","A110"
"103","05",46295.00,"蘭潭","動物試驗場","A110"
"103","06",,"蘭潭","動物試驗場","A110"
"103","07",,"蘭潭","動物試驗場","A110"
"103","08",,"蘭潭","動物試驗場","A110"
"103","09",37800.00,"蘭潭","動物試驗場","A110"
"103","10",38400.00,"蘭潭","動物試驗場","A110"
"109","02",44000.00,"蘭潭","動物試驗場","A110"
"103","11",50700.00,"蘭潭","動物試驗場","A110"
"103","12",47500.00,"蘭潭","動物試驗場","A110"
"104","01",41800.00,"蘭潭","動物試驗場","A110"
"104","02",46600.00,"蘭潭","動物試驗場","A110"
"102","09",53917.00,"蘭潭","動物試驗場","A110"
"102","05",49786.00,"蘭潭","動物試驗場","A110"
"102","06",54541.00,"蘭潭","動物試驗場","A110"
"102","10",52792.00,"蘭潭","動物試驗場","A110"
"102","12",50378.00,"蘭潭","動物試驗場","A110"
"102","07",55527.00,"蘭潭","動物試驗場","A110"
"102","08",58757.00,"蘭潭","動物試驗場","A110"
"102","11",54225.00,"蘭潭","動物試驗場","A110"
"103","01",49675.00,"蘭潭","動物試驗場","A110"
"103","02",52223.00,"蘭潭","動物試驗場","A110"
"104","03",37400.00,"蘭潭","動物試驗場","A110"
"103","04",47364.00,"蘭潭","動物試驗場","A110"
"104","04",44000.00,"蘭潭","動物試驗場","A110"
"103","03",48904.00,"蘭潭","動物試驗場","A110"
"104","05",54000.00,"蘭潭","動物試驗場","A110"
"104","06",46800.00,"蘭潭","動物試驗場","A110"
"104","07",55600.00,"蘭潭","動物試驗場","A110"
"104","08",52000.00,"蘭潭","動物試驗場","A110"
"104","09",47400.00,"蘭潭","動物試驗場","A110"
"106","01",37200.00,"蘭潭","動物試驗場","A110"
"106","02",38400.00,"蘭潭","動物試驗場","A110"
"106","03",34600.00,"蘭潭","動物試驗場","A110"
"104","10",49600.00,"蘭潭","動物試驗場","A110"
"104","11",52800.00,"蘭潭","動物試驗場","A110"
"104","12",36000.00,"蘭潭","動物試驗場","A110"
"105","02",41800.00,"蘭潭","動物試驗場","A110"
"105","03",37400.00,"蘭潭","動物試驗場","A110"
"105","04",41000.00,"蘭潭","動物試驗場","A110"
"105","05",49600.00,"蘭潭","動物試驗場","A110"
"105","01",42600.00,"蘭潭","動物試驗場","A110"
"105","06",56800.00,"蘭潭","動物試驗場","A110"
"105","07",50400.00,"蘭潭","動物試驗場","A110"
"105","08",50000.00,"蘭潭","動物試驗場","A110"
"105","09",54400.00,"蘭潭","動物試驗場","A110"
"105","10",48600.00,"蘭潭","動物試驗場","A110"
"105","11",44600.00,"蘭潭","動物試驗場","A110"
"105","12",46600.00,"蘭潭","動物試驗場","A110"
"106","04",36200.00,"蘭潭","動物試驗場","A110"
"106","05",30200.00,"蘭潭","動物試驗場","A110"
"106","06",57200.00,"蘭潭","動物試驗場","A110"
"106","07",50800.00,"蘭潭","動物試驗場","A110"
"106","08",54400.00,"蘭潭","動物試驗場","A110"
"106","09",59200.00,"蘭潭","動物試驗場","A110"
"106","10",59200.00,"蘭潭","動物試驗場","A110"
"106","11",45200.00,"蘭潭","動物試驗場","A110"
"106","12",44800.00,"蘭潭","動物試驗場","A110"
"107","01",41400.00,"蘭潭","動物試驗場","A110"
"107","02",34200.00,"蘭潭","動物試驗場","A110"
"107","03",33600.00,"蘭潭","動物試驗場","A110"
"107","04",44200.00,"蘭潭","動物試驗場","A110"
"107","05",42400.00,"蘭潭","動物試驗場","A110"
"107","06",52800.00,"蘭潭","動物試驗場","A110"
"107","11",54600.00,"蘭潭","動物試驗場","A110"
"107","12",46400.00,"蘭潭","動物試驗場","A110"
"108","01",53800.00,"蘭潭","動物試驗場","A110"
"108","02",39600.00,"蘭潭","動物試驗場","A110"
"108","03",48600.00,"蘭潭","動物試驗場","A110"
"108","04",47000.00,"蘭潭","動物試驗場","A110"
"108","05",56200.00,"蘭潭","動物試驗場","A110"
"108","06",64400.00,"蘭潭","動物試驗場","A110"
"108","07",56800.00,"蘭潭","動物試驗場","A110"
"108","08",42600.00,"蘭潭","動物試驗場","A110"
"108","09",64400.00,"蘭潭","動物試驗場","A110"
"108","10",44000.00,"蘭潭","動物試驗場","A110"
"108","11",54200.00,"蘭潭","動物試驗場","A110"
"108","12",44800.00,"蘭潭","動物試驗場","A110"
"109","01",42600.00,"蘭潭","動物試驗場","A110"
"102","02",0.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","03",5758.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","05",376.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","06",659.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","07",,"蘭潭","木材利用工廠、水禽舍","A111"
"100","08",6793.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","07",24000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","09",7447.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","10",8971.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","11",7665.00,"蘭潭","木材利用工廠、水禽舍","A111"
"100","12",6494.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","01",5707.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","02",3044.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","03",248.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","04",10978.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","05",6425.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","06",7966.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","07",6805.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","08",6168.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","09",5621.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","10",5089.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","11",6875.00,"蘭潭","木材利用工廠、水禽舍","A111"
"101","12",5602.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","01",4644.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","04",6454.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","08",28000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","09",20200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","10",23200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","05",17983.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","06",19233.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","07",0.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","08",0.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","09",8000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","10",8000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"109","02",16800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","11",18100.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","12",19900.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","01",15800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","02",18600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","09",21275.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","05",13679.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","06",19418.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","10",21986.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","12",17515.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","07",22689.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","08",17234.00,"蘭潭","木材利用工廠、水禽舍","A111"
"102","11",21730.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","01",14203.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","02",12775.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","03",13400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","04",18315.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","04",15600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"103","03",10813.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","05",19600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","06",15600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","07",16600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","08",17200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","09",15800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","01",23600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","02",17200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","03",14800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","10",17200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","11",19200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"104","12",16200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","02",14200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","03",13600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","04",16600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","05",19600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","01",15800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","06",21800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","07",21000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","08",22800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","09",23400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","10",21000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","11",22600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"105","12",19400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","04",18000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","05",16000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","06",24400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","07",22200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","08",25200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","09",25600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","10",27000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","11",20800.00,"蘭潭","木材利用工廠、水禽舍","A111"
"106","12",25200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","01",25400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","02",15200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","03",18000.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","04",19600.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","05",26400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","06",26200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","11",22200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"107","12",19200.00,"蘭潭","木材利用工廠、水禽舍","A111"
"108","01",21400.00,"蘭潭","木材利用工廠、水禽舍","A111"
"108","02",15000.00,"蘭潭","木材利用工廠、水禽舍","A111"
