DataTimeStamp,E11,E12,E13,E21,E22,E31,E32,E33,D000001,D000002,D000003,D000004,D000005,D000006,D000007,D000008,D000009,D000010,D000011,D000012,D000013,D000014,D000015,D000016,D000017,D000018,D000019,D000020,D000021,D000022,D000023,D000024,D000025,D000026,D000027,D000028,D000029,D000030,D000031,D000032,D000033,D000034,D000035,D000036,D000037,D000038,D000039,D000040,D000041,D000042,D000043,D000044,D000045,D000046,D000047,D000048,D000049,D000050,D000051,D000052,D000053,D000054,D000055,D000062,D000063,D000064,D000065,D000066,D000067,D000068,D000069,D000070,D000071,D000072,D000073,D000074,D000075,D000076,D000077,D000078,D000079,D000080,D000081,D000082,D000083,D000084,D000085,C00001,C00002,C00003,C00004,C00005,C00006,C00007,C00008,C00009,C00010,C00011
2021-12-01,151731,26208,4426,102203,22338,65123,3861,63130,8886.001,1662.9209999999996,3280.203,950816.9990000001,23980.655,57193.12700000001,180322.5,223677.25,2391.4999999999995,1509.6909999999998,53759.812,184367.75,51106.93299999999,49039.939000000006,10187.18,99203.31300000001,0,28715.530999999995,13058.999999999998,32765.747,10343.922,94504.875,25134.843999999997,6884.177000000001,21540.827000000005,12730.471999999998,10135.075,6538.173999999999,3417.138999999999,12692.017,1291.4769999999996,11171.061000000002,3938.7650000000003,,,,,,,,,11876.140999999996,56464.19000000001,85026.75,145062.75,5900.031,11559.579000000002,11477.66,3002.0199999999995,987.3420000000001,631.0679999999999,1299.2030000000002,648.9409999999999,205.77599999999995,145.74100000000004,714.9610000000001,840.5889999999999,1775.1150000000005,6070.818000000001,62176.314000000006,13286.279,1435.7079999999999,216.86300000000003,66901.31400000001,43927.935999999994,15827.504,9757.997999999998,,,,,,,,,,,,,0,23007.968000000004,19042.420000000002,12776.847000000002,3650.9520000000007,1193.106,776.7970000000001,,,,
2022-01-01,121692,21122,4018,80305,18211,60248,7197,55169,1746.874,455.88599999999997,529.111,563243.25,14718.563,33273.31600000001,114553,118172.75,1298.438,976.7499999999999,33619.811,114263.25,27121.060999999998,29258.003000000004,4569.598999999999,64710.627,0,24909.124999999996,12023.795999999998,28800.592999999997,8464.706999999999,85525.125,22034.407000000007,6298.032999999999,19763.933000000005,11952.664999999997,8080.872999999998,6208.521000000002,3003.376,11181.658999999998,1281.707,9636.499999999998,3362.7700000000004,46594.313,56375.907999999996,157807.937,87928.56100000002,64731.844000000005,112641.25,53993.188,942.7629999999999,11351.452000000003,44284.69000000001,66535.625,120030.25,4834.853999999999,11120.328000000003,8582.344000000001,2193.7259999999997,752.9000000000002,481.6819999999999,1183.113,589.5690000000001,194.984,119.385,346.21500000000003,811.5089999999999,1389.2840000000003,5421.002,55517.126000000004,11662.530999999999,768.4879999999999,179.094,57170.373,40501.435999999994,11527.999999999998,9286.338000000002,,,,,,,,,,,,,0,19514.236000000004,18345.752,9765.466999999999,2783.287,947.8870000000002,601.0709999999999,58648.062999999995,,,
2022-02-01,99565,17100,3545,71734,13592,48133,9164,45214,259.751,141.309,131.09300000000002,83.5,52.968999999999994,0,0,28364,0,0,759.25,0,0,0,0.008,0,0,22999.249000000007,11156.967999999997,25671.501000000004,7989.28,77064.75,21533.284,5526.3369999999995,18941.751,11462.233999999999,6411.658,5884.089,2792.1919999999996,10949.170999999998,1549.7279999999998,9366.311000000002,3236.734,15939.782000000003,10399.720000000003,59505.001000000004,26088.999999999996,17722.249,22625.564000000006,13257.469999999998,340.64300000000003,11842.703,39650.626000000004,60157.125,100397.75,4643.125,10088.798,7422.371999999999,1939.747,708.387,457.45400000000006,901.964,539.5830000000001,121.544,104.585,383.84499999999997,796.8100000000001,1064.649,4876.951999999999,49421.062000000005,10445.873000000003,2408.944,184.86599999999999,52620.063,38170.560999999994,9687.315,9546.203,,,,,,,,,,,,,0,16253.705999999998,17197.127,8324.31,2479.332,829.934,562.0350000000001,9558.748000000001,,,
2022-03-01,168778,28698,4374,104446,25295,72981,10925,68909,16445.781,2770.403,7220.797,657319.5,19804.062000000005,42366.813,139427.25,123541.75,1377.111,906.6270000000002,14771.374,145451.25,43955.189,33145.998,7241.705,24758.064000000006,27563.968000000004,29416.245999999992,13806.547999999995,32580.06300000001,11403.300000000003,103034.875,29257.062,7052.960999999999,21798.967,10473.674999999997,8745.323,7075.088000000001,3275.3269999999998,13498.108,1676.8159999999998,11876.063000000002,5229.5030000000015,20785.16,11635.499999999998,67373.125,35130.75,28732.406,27561.500000000004,19954.253,384.46799999999985,11417.857,51821.062,87925.875,154436.5,6682.748,14710.513999999996,11507.576,2394.3369999999995,1122.8660000000002,623.0480000000001,1246.946,648.2080000000002,145.026,160.10299999999998,501.09399999999994,1158.7130000000002,1217.866,6090.580000000001,67258.063,13900.47,1376.9669999999999,217.287,74408.94000000002,51486.314000000006,16324.565,11100.02,,,,,,,,,,,,,22443.658000000003,21639.015999999996,21876.687000000005,12754.535000000002,3042.545,1267.8839999999996,783.1509999999998,8757.285,,,
2022-04-01,150385,24253,3666,96513,20211,69225,9087,65329,17553.531000000003,2496.504,9037.407,877759.5,29471.999000000007,58985.374,186901.25,154042,1594.558,1131.1740000000002,19892.939,194528.75,54041.931999999986,41778.37900000001,7564.265999999999,37377.560999999994,35447.44,34317.562,11882.489,33058.625,12126.528,98601.375,27899.312999999995,6640.678000000001,20040.685,8892.314,8890.877999999999,5581.705,3113.126,14031.453999999998,1822.5860000000005,14605.533,5976.284999999999,21048.093000000004,19158.340000000004,70405.5,37307.126000000004,27034.751,25016.938000000002,18936.999000000003,353.15799999999996,5083.590000000001,53821.433999999994,81936.625,154398.25,6853.751,14648.578,10741.675000000001,2074.435,953.4849999999998,566.809,974.2440000000003,534.5440000000001,140.306,102.30399999999999,497.879,1108.539,1124.365,5916.25,63912.375,13298.581000000002,225.52300000000002,183.354,66132.25,44654.876,15657.658,9202.966999999997,,,,,,,,,,,,,29531.273000000005,24011.640000000003,21390.111,11715.941000000003,2608.9710000000005,1093.7939999999999,669.1160000000001,7052.120999999999,,,
2022-05-01,183935,30451,4351,127724,28243,84153,10351,79415,27767.781000000003,3711.586,15208.061999999998,1061964,39151.815,71559.25,211844.5,173663.5,1494.9459999999997,1199.3480000000004,25239.500000000007,237851.25,73894.75,49187.810999999994,7937.235,41825.558999999994,40950.68600000001,43268.185999999994,13793.466999999997,38077.378000000004,13601.310000000003,108158.875,33811.06199999999,7182.313,21506.998000000007,9564.466999999999,11330.858,6702.6129999999985,3517.986,17052.564999999995,1825.7590000000005,15142.342,5750.030000000001,22904.189000000002,21527.907,72401.75,42251.25100000001,31275.72000000001,24349.871999999996,14443.903999999999,384.61999999999995,6181.110000000001,59220.563,95267,198574.5,5780.560000000001,15486.940999999999,10697.576000000003,2237.003,926.1420000000002,535.522,1094.865,594.3360000000002,154.73100000000005,128.458,1007.6939999999998,1338.647,971.8290000000004,7083.04,69284.75,13838.186999999998,1406.4080000000001,232.30900000000003,83406.75,57673.308999999994,18975.281000000006,8306.030999999999,,,,,,,,,,,,,33867.657999999996,29771.112000000005,25036.013999999996,11792.472999999998,2831.3430000000003,1080.872,663.9799999999999,10224.658,,,
2022-06-01,184029,30373,4133,132036,23134,94278,8593,89293,33953.376,5000.351,19501.108999999997,1085004.5,51625.75,79985.125,225445,163806.5,1634.546,1148.8700000000001,27647.125,240595.5,75802.75,53730.435999999994,7078.3110000000015,43496.878,45285.564000000006,47122.501,13483.813000000002,42724.25200000001,16712.435999999998,114243.875,36481.123,7522.437,26712.718999999994,10082.078000000001,12031.858999999999,6577.7,3526.9979999999996,19267.432999999997,2567.1140000000005,18484.939000000002,7422.906999999999,29528.465999999997,13553.655000000004,78838.25,45174.187999999995,33974.341,21607.876,14845.874999999996,368.40500000000003,5473.141999999999,66480.25,81723.5,163118.75,4917.087999999998,11794.642,9397.562,2088.0789999999997,616.0999999999999,598.9620000000001,867.0329999999999,522.4870000000001,143.142,101.02,1074.855,1139.365,1330.393,7846.726000000001,71616,15236.952000000003,2180.9039999999995,170.27300000000002,80703.125,57477.187,18598.278000000002,8765.059000000001,,,,,,,,,,,,,37438.804,33959.297999999995,27390.797999999995,10264.590999999997,2610.534,759.246,699.9770000000001,7477.876,,,
2022-07-01,51287,7178,1550,69137,3404,36321,2742,34436,34309.187000000005,4767.187999999999,19125.452999999998,1077110,46994.00100000001,77424.5,238219.25,165264,1840.9140000000002,1180.6099999999997,29539.125,230820.75,70808.125,51757.748999999996,6233.921000000001,45186.125,47427.812,50223.437999999995,14487.784000000001,45582.125,17946.518000000004,119735.625,41938.12500000001,8453.922999999999,8455.532000000001,10748.548,12510.952999999996,5911.4529999999995,3286.312,19454.313999999995,3120.2319999999995,19494.782,8322.845000000001,33193.814999999995,13027.595000000001,84226.125,45040.251,35710.403999999995,22471.186999999998,17746.842,373.263,5287.607,67686.375,125217.875,210755.75,7588.905999999999,18630.891999999996,8431.547999999999,1221.9859999999999,584.5370000000001,752.9720000000001,779.329,489.30800000000005,130.189,93.44900000000001,1372.4810000000002,1042.0879999999997,1247.9959999999996,7646.562000000001,76320.625,15694.002999999997,999.3430000000001,249.72100000000003,83749.875,56936.878000000004,20279.849999999995,9750.046999999999,,,,,,,,,,,,,39781.236,35831.99899999999,27720.252999999993,9210.846,1711.293,714.7300000000001,846.4209999999999,6399.939,,,
2022-08-01,28743,4575,832,6167,341,19484,1248,18465,28320.063000000006,4868.367,14927.734,1162684,52525.93699999999,71949.875,242629.25,201506.5,1702.843,1230.274,29692.875,254711,68983,55075.25,6498.045,46098,47663.314,50241.87299999999,14317.033999999998,47172.501000000004,16981.029999999995,118695.25,43683.75200000001,8454.094000000001,8520.404999999999,11020.156000000003,12599.641000000001,6028.047999999999,3415.407,17967.341,3135.431,15507.126,8410.653999999999,35651.21599999999,12912.531,85637.5,49872.185,44240.188,37393.876000000004,35971.99599999999,389.0230000000001,7239.438,69476.125,106379.5,207555.5,6548.348999999998,16421.409,8871.531,1330.9920000000002,587.7859999999998,776.5809999999999,760.1129999999999,506.53400000000005,92.52499999999999,98.23799999999999,1794.269,935.8139999999999,1099.2689999999998,7340.146000000002,76750.625,16013.873999999998,3797.236,229.57199999999997,85586.625,57149,22499.845999999998,9517.482,,,,,,,,,,,,,40322.922999999995,37654.59300000001,25930.376,9631.704,1837.5220000000004,680.3059999999998,874.8190000000002,6033.276999999999,,,
2022-09-01,149534,25019,2887,96548,22182,62192,4247,58977,37899.74999999999,5470.18,19544.797000000002,1199943,49752.128000000004,80602.5,234572.5,190989,1744.3619999999994,1268.793,27208.375,267540.5,90695.875,60365.75,9975.689,47247.5,46991.31300000001,47770.376000000004,13433.811000000002,45062.812,16487.874,112908,39242.001000000004,8344.267,9529.749999999998,10085.783000000001,14522.967,6023.5340000000015,3546.514,17535.655000000002,2645.6639999999998,15146.806999999997,7457.387999999999,34428.686,12607.687,71397,52243.248999999996,35189.062999999995,39908.37499999999,33618.62600000001,389.87899999999996,7456.875,71672.25,117974.25,216512.25,6667.047999999999,13317.380999999996,19275.513,3427.821999999999,1343.527,1252.1689999999999,969.7609999999999,564.2269999999999,120.06900000000002,128.84400000000002,1995.4250000000002,1621.7819999999997,1120.62,7456.936999999998,72858.375,15516.909000000001,4662.155999999999,234.83999999999995,88390.5,57298.5,20788.406,8801.998,,,,,,,,,,,,,39534.093,36260.861999999994,24533.246000000003,20245.258999999995,3992.046,1463.5919999999999,1381.016,8179.252,,,
2022-10-01,197988,36282,4390,130975,29529,87395,4684,82619,16095.625,2291.656,8244.219000000001,610383.6919999999,22854.686,38619.625,121434.5,100295.5,1179.459,705.4999999999999,12930,134957.5,43665.625,30509.625,5650.001,25766.25,25320.251000000004,22800.375,6950.908,23351.127,8768.06,60110.75,19728.876,4226.454000000001,5208.906,5403.8279999999995,7495.376,3300.485,1712.471,9245.436000000002,1293.2569999999998,8489.81,4216.985,17849.247,6520.313,39317.625,27357.689000000006,19862.815,20181.875,16481.624,197.02899999999997,4021.747,37354.875,62003.125,106216,3465.125,7047.941000000001,9420.439,1751.467,840.8580000000001,650.6709999999998,757.2819999999999,313.63899999999995,104.392,72.24199999999999,880.4040000000001,710.4580000000001,257.43,4343.561,39338.75,8860.686,1141.225,100.56099999999999,48324.75,31089.375,12264.594999999998,4497.705,,,,,,,,,,,,,20976.907000000003,18853.249999999996,11911.281,10177.760999999999,2065.102,945.249,722.913,4339.687,,,
